company_name,symbol,initial_investment,2022-02-08,2024-02-07,no_shares,current_value,change_percentage,rank
Eli Lilly and Company,LLY,10000.0,239.91,725.38,41.68,30235.5,202.36,1
NVIDIA Corporation,NVDA,10000.0,251.08,700.99,39.83,27918.99,179.19,2
Meta Platforms Inc. Class A,META,10000.0,220.18,469.59,45.42,21327.55,113.28,3
Broadcom Inc.,AVGO,10000.0,600.22,1257.06,16.66,20943.32,109.43,4
Merck & Co. Inc.,MRK,10000.0,76.91,127.47,130.02,16573.92,65.74,5
Caterpillar Inc.,CAT,10000.0,201.5,323.59,49.63,16059.06,60.59,6
Booking Holdings Inc.,BKNG,10000.0,2541.38,3708.92,3.93,14594.12,45.94,7
Oracle Corporation,ORCL,10000.0,80.79,117.27,123.78,14515.41,45.15,8
Cigna Corporation,CI,10000.0,231.77,330.55,43.15,14261.98,42.62,9
Linde plc,LIN,10000.0,298.71,416.83,33.48,13954.34,39.54,10
General Electric Company,GE,10000.0,99.31,138.5,100.69,13946.23,39.46,11
Netflix Inc.,NFLX,10000.0,403.53,559.3,24.78,13860.18,38.6,12
Costco Wholesale Corporation,COST,10000.0,521.15,719.78,19.19,13811.38,38.11,13
Intuitive Surgical Inc.,ISRG,10000.0,283.39,391.38,35.29,13810.65,38.11,14
Microsoft Corporation,MSFT,10000.0,304.56,414.05,32.83,13595.02,35.95,15
Stryker Corporation,SYK,10000.0,255.1,342.72,39.2,13434.73,34.35,16
International Business Machines Corporation,IBM,10000.0,137.02,183.74,72.98,13409.72,34.1,17
ServiceNow Inc.,NOW,10000.0,591.27,790.39,16.91,13367.67,33.68,18
Advanced Micro Devices Inc.,AMD,10000.0,128.23,170.94,77.98,13330.73,33.31,19
Salesforce Inc.,CRM,10000.0,217.43,288.84,45.99,13284.28,32.84,20
Exxon Mobil Corporation,XOM,10000.0,80.26,102.22,124.6,12736.11,27.36,21
Marsh & McLennan Companies Inc.,MMC,10000.0,153.88,195.73,64.99,12719.65,27.2,22
Berkshire Hathaway Inc. Class B,BRK.B,10000.0,321.44,397.66,31.11,12371.2,23.71,23
Mastercard Incorporated Class A,MA,10000.0,374.37,461.91,26.71,12338.33,23.38,24
Applied Materials Inc.,AMAT,10000.0,138.75,170.9,72.07,12317.12,23.17,25
ConocoPhillips,COP,10000.0,91.33,112.32,109.49,12298.26,22.98,26
Amgen Inc.,AMGN,10000.0,241.01,295.87,41.49,12276.25,22.76,27
Walmart Inc.,WMT,10000.0,137.99,169.38,72.47,12274.8,22.75,28
Visa Inc. Class A,V,10000.0,227.94,279.39,43.87,12257.17,22.57,29
AbbVie Inc.,ABBV,10000.0,143.51,175.01,69.68,12194.97,21.95,30
Adobe Incorporated,ADBE,10000.0,511.31,615.85,19.56,12044.55,20.45,31
Automatic Data Processing Inc.,ADP,10000.0,208.41,250.27,47.98,12008.54,20.09,32
Chubb Limited,CB,10000.0,207.9,246.89,48.1,11875.42,18.75,33
Analog Devices Inc.,ADI,10000.0,163.13,191.97,61.3,11767.92,17.68,34
Gilead Sciences Inc.,GILD,10000.0,63.7,74.42,156.99,11682.89,16.83,35
Intuit Inc.,INTU,10000.0,554.23,643.17,18.04,11604.75,16.05,36
S&P Global Inc.,SPGI,10000.0,399.78,459.72,25.01,11499.32,14.99,37
JPMorgan Chase & Co.,JPM,10000.0,155.95,175.43,64.12,11249.12,12.49,38
Chevron Corporation,CVX,10000.0,136.44,152.13,73.29,11149.96,11.5,39
McDonald’s Corporation,MCD,10000.0,260.08,287.33,38.45,11047.75,10.48,40
Mondelez International Inc. Class A,MDLZ,10000.0,68.05,74.62,146.95,10965.47,9.65,41
Lockheed Martin Corporation,LMT,10000.0,396.04,430.1,25.25,10860.01,8.6,42
Apple Inc.,AAPL,10000.0,174.83,189.41,57.2,10833.95,8.34,43
American Express Company,AXP,10000.0,194.0,209.08,51.55,10777.32,7.77,44
Anthem Inc.,ELV,10000.0,465.76,497.79,21.47,10687.69,6.88,45
Accenture Plc Class A,ACN,10000.0,345.07,366.65,28.98,10625.38,6.25,46
Amazon.com Inc.,AMZN,10000.0,161.41,170.53,61.95,10565.02,5.65,47
Alphabet Inc. Class C,GOOG,10000.0,139.21,146.68,71.83,10536.6,5.37,48
UnitedHealth Group Incorporated,UNH,10000.0,493.41,519.39,20.27,10526.54,5.27,49
Goldman Sachs Group Inc.,GS,10000.0,370.1,386.66,27.02,10447.45,4.47,50
Alphabet Inc. Class A,GOOGL,10000.0,139.4,145.54,71.74,10440.46,4.4,51
Union Pacific Corporation,UNP,10000.0,242.95,249.16,41.16,10255.61,2.56,52
Starbucks Corporation,SBUX,10000.0,94.92,95.31,105.35,10041.09,0.41,53
Home Depot Inc.,HD,10000.0,361.44,362.69,27.67,10034.58,0.35,54
Honeywell International Inc.,HON,10000.0,194.56,194.1,51.4,9976.36,-0.24,55
PepsiCo Inc.,PEP,10000.0,172.02,171.47,58.13,9968.03,-0.32,56
